Source,Target,weight
Detroit Metro Wayne County,Miami International,2
Salt Lake City International,John F. Kennedy International,5
Portland International,Salt Lake City International,3
Lambert-St. Louis International,Detroit Metro Wayne County,2
Cincinnati/Northern Kentucky International,Los Angeles International,3
Hartsfield-Jackson Atlanta International,Lambert-St. Louis International,2
Hartsfield-Jackson Atlanta International,Salt Lake City International,1
Hartsfield-Jackson Atlanta International,Austin - Bergstrom International,1
Ronald Reagan Washington National,Hartsfield-Jackson Atlanta International,1
Phoenix Sky Harbor International,Minneapolis-St Paul International,2
Detroit Metro Wayne County,Dallas/Fort Worth International,2
Detroit Metro Wayne County,Los Angeles International,2
Hartsfield-Jackson Atlanta International,Jacksonville International,2
LaGuardia,Hartsfield-Jackson Atlanta International,2
Detroit Metro Wayne County,LaGuardia,1
Hartsfield-Jackson Atlanta International,San Francisco International,2
Orlando International,Hartsfield-Jackson Atlanta International,1
Minneapolis-St Paul International,McCarran International,2
Hartsfield-Jackson Atlanta International,Palm Beach International,1
Memphis International,Hartsfield-Jackson Atlanta International,4
LaGuardia,Fort Lauderdale-Hollywood International,2
Hartsfield-Jackson Atlanta International,Los Angeles International,1
Salt Lake City International,Seattle/Tacoma International,2
Denver International,LaGuardia,1
Salt Lake City International,Sacramento International,3
Salt Lake City International,John Wayne Airport-Orange County,1
Los Angeles International,Tampa International,3
Hartsfield-Jackson Atlanta International,Cincinnati/Northern Kentucky International,2
Hartsfield-Jackson Atlanta International,Kansas City International,1
Charlotte Douglas International,Hartsfield-Jackson Atlanta International,1
Detroit Metro Wayne County,Minneapolis-St Paul International,2
Hartsfield-Jackson Atlanta International,Philadelphia International,2
John F. Kennedy International,Hartsfield-Jackson Atlanta International,2
McCarran International,Detroit Metro Wayne County,3
Hartsfield-Jackson Atlanta International,San Antonio International,2
Los Angeles International,Nashville International,3
Minneapolis-St Paul International,Kansas City International,1
Indianapolis International,Hartsfield-Jackson Atlanta International,2
John F. Kennedy International,Los Angeles International,2
Salt Lake City International,Minneapolis-St Paul International,1
George Bush Intercontinental/Houston,Detroit Metro Wayne County,1
Seattle/Tacoma International,Hartsfield-Jackson Atlanta International,1
Tampa International,Hartsfield-Jackson Atlanta International,1
Minneapolis-St Paul International,Southwest Florida International,2
Chicago O'Hare International,Hartsfield-Jackson Atlanta International,2
San Diego International,Salt Lake City International,1
John F. Kennedy International,Logan International,1
Philadelphia International,Salt Lake City International,2
Orlando International,Cincinnati/Northern Kentucky International,1
Minneapolis-St Paul International,Portland International,1
Logan International,Hartsfield-Jackson Atlanta International,1
Hartsfield-Jackson Atlanta International,Baltimore/Washington International Thurgood Marshall,3
Hartsfield-Jackson Atlanta International,Norfolk International,2
Detroit Metro Wayne County,Charlotte Douglas International,3
Phoenix Sky Harbor International,Detroit Metro Wayne County,1
Port Columbus International,Hartsfield-Jackson Atlanta International,2
Detroit Metro Wayne County,Hartsfield-Jackson Atlanta International,5
Seattle/Tacoma International,Minneapolis-St Paul International,2
Hartsfield-Jackson Atlanta International,Denver International,1
Hartsfield-Jackson Atlanta International,Louis Armstrong New Orleans International,2
Hartsfield-Jackson Atlanta International,Albuquerque International Sunport,3
Hartsfield-Jackson Atlanta International,Buffalo Niagara International,3
Raleigh-Durham International,Detroit Metro Wayne County,2
Hartsfield-Jackson Atlanta International,Tucson International,2
Minneapolis-St Paul International,Hartsfield-Jackson Atlanta International,1
Hartsfield-Jackson Atlanta International,Fort Lauderdale-Hollywood International,2
Detroit Metro Wayne County,Orlando International,1
Southwest Florida International,Hartsfield-Jackson Atlanta International,1
Seattle/Tacoma International,Honolulu International,2
Newark Liberty International,Detroit Metro Wayne County,1
San Francisco International,John F. Kennedy International,4
Salt Lake City International,Los Angeles International,3
Hartsfield-Jackson Atlanta International,Newark Liberty International,1
Minneapolis-St Paul International,Tampa International,2
Detroit Metro Wayne County,Ronald Reagan Washington National,1
Hartsfield-Jackson Atlanta International,George Bush Intercontinental/Houston,1
Portland International,John F. Kennedy International,3
Minneapolis-St Paul International,General Mitchell International,4
Detroit Metro Wayne County,General Mitchell International,3
Orlando International,Memphis International,3
Louisville International-Standiford Field,Hartsfield-Jackson Atlanta International,1
Hartsfield-Jackson Atlanta International,San Diego International,3
Los Angeles International,Minneapolis-St Paul International,1
Cincinnati/Northern Kentucky International,Salt Lake City International,1
Orlando International,McCarran International,2
Orlando International,LaGuardia,3
Minneapolis-St Paul International,Norman Y. Mineta San Jose International,3
Hartsfield-Jackson Atlanta International,Pittsburgh International,2
Lambert-St. Louis International,Minneapolis-St Paul International,1
Hartsfield-Jackson Atlanta International,Cleveland-Hopkins International,2
Minneapolis-St Paul International,LaGuardia,2
Orlando International,Minneapolis-St Paul International,2
Cincinnati/Northern Kentucky International,Southwest Florida International,2
Minneapolis-St Paul International,San Francisco International,1
Nashville International,Hartsfield-Jackson Atlanta International,1
Hartsfield-Jackson Atlanta International,Dallas/Fort Worth International,2
Salt Lake City International,Ted Stevens Anchorage International,2
Minneapolis-St Paul International,Fort Lauderdale-Hollywood International,2
Memphis International,Detroit Metro Wayne County,5
Los Angeles International,Louis Armstrong New Orleans International,4
Detroit Metro Wayne County,Salt Lake City International,1
Cincinnati/Northern Kentucky International,McCarran International,2
Hartsfield-Jackson Atlanta International,Raleigh-Durham International,2
Palm Beach International,LaGuardia,1
Ronald Reagan Washington National,Salt Lake City International,1
Honolulu International,Los Angeles International,2
Minneapolis-St Paul International,Sacramento International,3
Hartsfield-Jackson Atlanta International,Miami International,1
Salt Lake City International,San Francisco International,2
Hartsfield-Jackson Atlanta International,General Mitchell International,2
Detroit Metro Wayne County,Louis Armstrong New Orleans International,3
John Wayne Airport-Orange County,Minneapolis-St Paul International,7
John F. Kennedy International,Tampa International,2
LaGuardia,Tampa International,1
San Francisco International,Cincinnati/Northern Kentucky International,3
Denver International,Minneapolis-St Paul International,3
Hartsfield-Jackson Atlanta International,Richmond International,3
John F. Kennedy International,Orlando International,1
McCarran International,Hartsfield-Jackson Atlanta International,1
John F. Kennedy International,Fort Lauderdale-Hollywood International,2
John F. Kennedy International,Detroit Metro Wayne County,3
Detroit Metro Wayne County,Denver International,8
Detroit Metro Wayne County,Logan International,1
John F. Kennedy International,McCarran International,2
Seattle/Tacoma International,John F. Kennedy International,2
John F. Kennedy International,Phoenix Sky Harbor International,1
San Diego International,John F. Kennedy International,1
Fort Lauderdale-Hollywood International,Detroit Metro Wayne County,1
John F. Kennedy International,Miami International,3
John F. Kennedy International,Luis Munoz Marin International,9
Orlando International,Salt Lake City International,5
Hartsfield-Jackson Atlanta International,Sacramento International,2
Logan International,Minneapolis-St Paul International,2
Luis Munoz Marin International,Hartsfield-Jackson Atlanta International,2
Minneapolis-St Paul International,Memphis International,1
McCarran International,Salt Lake City International,2
Louis Armstrong New Orleans International,LaGuardia,3
McCarran International,Memphis International,5
Hartsfield-Jackson Atlanta International,Bradley International,2
LaGuardia,Miami International,2
Portland International,Hartsfield-Jackson Atlanta International,1
Charlotte Douglas International,Salt Lake City International,2
Baltimore/Washington International Thurgood Marshall,Minneapolis-St Paul International,1
John F. Kennedy International,Denver International,2
Chicago Midway International,Hartsfield-Jackson Atlanta International,2
San Diego International,Minneapolis-St Paul International,1
Detroit Metro Wayne County,Nashville International,3
Detroit Metro Wayne County,Tampa International,1
Indianapolis International,Detroit Metro Wayne County,1
John F. Kennedy International,Austin - Bergstrom International,1
Salt Lake City International,Norman Y. Mineta San Jose International,4
Detroit Metro Wayne County,Seattle/Tacoma International,2
Detroit Metro Wayne County,San Francisco International,1
Hartsfield-Jackson Atlanta International,Theodore Francis Green State,3
Orlando International,Logan International,3
Minneapolis-St Paul International,Eppley Airfield,2
Logan International,Cincinnati/Northern Kentucky International,2
Kansas City International,Los Angeles International,2
Detroit Metro Wayne County,San Diego International,1
Southwest Florida International,LaGuardia,1
Honolulu International,Hartsfield-Jackson Atlanta International,2
Memphis International,Tampa International,2
Hartsfield-Jackson Atlanta International,Eppley Airfield,1
Phoenix Sky Harbor International,Hartsfield-Jackson Atlanta International,1
Los Angeles International,Raleigh-Durham International,3
Detroit Metro Wayne County,Southwest Florida International,3
Indianapolis International,Los Angeles International,2
Los Angeles International,Orlando International,2
Minneapolis-St Paul International,Chicago O'Hare International,2
Fort Lauderdale-Hollywood International,Cincinnati/Northern Kentucky International,2
Baltimore/Washington International Thurgood Marshall,Salt Lake City International,1
Minneapolis-St Paul International,Miami International,3
Minneapolis-St Paul International,Dallas/Fort Worth International,3
LaGuardia,Pittsburgh International,2
Salt Lake City International,Memphis International,4
Minneapolis-St Paul International,Ronald Reagan Washington National,1
Detroit Metro Wayne County,Chicago O'Hare International,1
John Wayne Airport-Orange County,Hartsfield-Jackson Atlanta International,2
Detroit Metro Wayne County,Palm Beach International,2
Baltimore/Washington International Thurgood Marshall,Detroit Metro Wayne County,1
Cincinnati/Northern Kentucky International,Phoenix Sky Harbor International,2
Salt Lake City International,Reno/Tahoe International,3
Cincinnati/Northern Kentucky International,Seattle/Tacoma International,2
Salt Lake City International,Logan International,2
Memphis International,Los Angeles International,2
Cincinnati/Northern Kentucky International,Tampa International,2
Dallas/Fort Worth International,Salt Lake City International,2
Salt Lake City International,Phoenix Sky Harbor International,3
Lambert-St. Louis International,Salt Lake City International,2
Hartsfield-Jackson Atlanta International,Washington Dulles International,2
Minneapolis-St Paul International,Albuquerque International Sunport,2
Kahului Airport,Los Angeles International,3
Newark Liberty International,Minneapolis-St Paul International,2
Indianapolis International,Minneapolis-St Paul International,1
Detroit Metro Wayne County,Portland International,2
Memphis International,Phoenix Sky Harbor International,2
Minneapolis-St Paul International,Austin - Bergstrom International,2
John F. Kennedy International,Louis Armstrong New Orleans International,2
Minneapolis-St Paul International,Tucson International,2
Ted Stevens Anchorage International,Minneapolis-St Paul International,3
Minneapolis-St Paul International,Charlotte Douglas International,2
Honolulu International,Salt Lake City International,2
Hartsfield-Jackson Atlanta International,William P Hobby,2
Salt Lake City International,Metropolitan Oakland International,3
Detroit Metro Wayne County,Austin - Bergstrom International,2
Salt Lake City International,Newark Liberty International,2
Minneapolis-St Paul International,Philadelphia International,2
Salt Lake City International,Indianapolis International,2
Minneapolis-St Paul International,Pittsburgh International,2
Hartsfield-Jackson Atlanta International,Will Rogers World,2
Memphis International,LaGuardia,2
San Antonio International,Minneapolis-St Paul International,2
Los Angeles International,McCarran International,3
San Francisco International,Honolulu International,2
Miami International,Los Angeles International,1
Bradley International,Minneapolis-St Paul International,2
Bradley International,Detroit Metro Wayne County,1
John F. Kennedy International,San Antonio International,2
Detroit Metro Wayne County,Philadelphia International,1
Louis Armstrong New Orleans International,Salt Lake City International,2
Detroit Metro Wayne County,Kansas City International,2
Hartsfield-Jackson Atlanta International,Norman Y. Mineta San Jose International,2
Detroit Metro Wayne County,Jacksonville International,2
Los Angeles International,Port Columbus International,2
Salt Lake City International,Long Beach Airport,1
Dallas/Fort Worth International,Ronald Reagan Washington National,1
San Diego International,Dallas/Fort Worth International,64
Dallas/Fort Worth International,San Antonio International,1
Dallas/Fort Worth International,Eppley Airfield,1
Louis Armstrong New Orleans International,Dallas/Fort Worth International,30
Dallas/Fort Worth International,Will Rogers World,54
Nashville International,Dallas/Fort Worth International,1
Miami International,Newark Liberty International,62
Port Columbus International,Dallas/Fort Worth International,1
San Francisco International,Dallas/Fort Worth International,1
Dallas/Fort Worth International,McCarran International,1
Sacramento International,Dallas/Fort Worth International,62
Logan International,Dallas/Fort Worth International,4
Orlando International,Dallas/Fort Worth International,1
Dallas/Fort Worth International,Washington Dulles International,4
Miami International,Chicago O'Hare International,1
Chicago O'Hare International,Los Angeles International,80
Austin - Bergstrom International,Dallas/Fort Worth International,2
Chicago O'Hare International,Philadelphia International,1
Dallas/Fort Worth International,General Mitchell International,1
William P Hobby,Dallas/Fort Worth International,9
Nashville International,George Bush Intercontinental/Houston,15
Cleveland-Hopkins International,Will Rogers World,23
